Country,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03
Costa Rica,15,9,2,22,17,30,15,36,14,10,9,36,13,19,7,11,15,18,26,31,7,11,5,16,14,6,20,29,15,20,13,16,17,12,14,5,7,9,13
Croatia,1,Missing,Missing,2,1,1,2,6,1,2,Missing,2,2,Missing,2,1,2,2,3,2,2,Missing,2,2,Missing,2,1,1,Missing,4,3,3,1,1,1,Missing,Missing,1,1
Cuba,15,3,9,17,13,14,13,29,27,25,13,49,20,25,24,37,30,25,55,52,13,18,14,30,8,7,34,36,14,28,26,20,14,9,15,13,11,30,13
Curacao,Missing,Missing,Missing,1,Missing,Missing,1,Missing,1,Missing,Missing,Missing,Missing,1,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
Cyprus,Missing,Missing,1,2,2,2,3,5,1,Missing,Missing,1,3,Missing,Missing,2,2,2,1,Missing,Missing,Missing,Missing,Missing,Missing,Missing,2,Missing,3,Missing,4,Missing,1,1,Missing,Missing,Missing,Missing,Missing
Czech Republic,9,4,6,9,30,41,28,29,9,9,8,9,4,7,3,4,17,24,21,13,6,3,4,4,5,6,10,3,17,34,14,10,4,2,5,3,3,2,1
Democratic Republic of Sudan,10,26,12,15,33,39,24,21,37,17,19,34,21,7,14,20,27,20,30,34,34,18,30,18,26,20,20,24,23,44,25,33,25,23,61,28,37,36,17
Denmark,3,3,12,19,44,52,57,65,21,19,10,23,2,Missing,3,2,41,7,19,12,4,6,Missing,5,2,1,2,3,32,21,18,9,8,2,4,1,1,1,1
Dominica,1,4,2,3,5,5,11,5,3,2,2,5,4,4,3,6,4,5,13,5,3,1,4,8,3,6,4,6,6,6,12,18,2,6,3,3,2,6,Missing
Dominican Republic,49,16,6,64,62,62,86,144,52,47,28,116,103,78,33,49,71,62,91,117,37,34,66,75,32,38,102,83,89,108,68,72,44,73,51,45,43,54,34
"East Timor, Democratic Republic of",Missing,Missing,Missing,Missing,Missing,1,Missing,Missing,Missing,Missing,1,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,1,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
Ecuador,154,114,150,108,99,53,57,383,456,124,210,97,122,146,140,133,190,172,177,276,251,117,121,211,68,152,338,170,208,268,197,257,171,266,180,91,71,108,80
Egypt,107,84,125,109,170,331,235,146,141,85,182,118,79,46,68,188,159,247,184,312,142,68,84,115,120,103,117,171,275,201,225,223,131,125,136,114,120,109,93
El Salvador,40,9,5,16,34,37,41,94,25,20,21,49,50,54,26,24,34,33,44,56,21,20,29,40,10,5,43,36,35,55,49,21,13,24,26,15,14,18,19
Equatorial Guinea,1,1,1,Missing,1,Missing,1,3,2,2,Missing,1,1,Missing,Missing,1,Missing,Missing,1,4,2,1,2,3,6,2,2,4,3,1,3,3,2,1,2,2,Missing,6,2
Eritrea,4,Missing,2,1,2,4,7,3,4,1,4,4,3,4,2,2,2,6,6,6,10,5,6,2,5,3,4,10,8,4,6,7,9,3,16,4,9,3,3
Estonia,Missing,1,2,1,Missing,5,1,3,3,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,2,1,2,2,Missing,Missing,1,Missing,Missing,1,Missing,1,1,Missing,1,Missing,1,Missing,Missing,Missing,Missing,Missing
Ethiopia,95,85,89,80,65,131,215,158,243,225,259,78,146,220,134,104,50,156,103,289,354,310,343,355,408,780,597,619,762,518,238,431,816,416,263,743,552,269,139
Federal Republic of Cameroon,473,240,181,447,443,807,1039,869,291,214,536,615,557,201,369,570,645,687,866,1350,1114,592,647,815,929,714,1048,974,2186,1819,1109,1140,1384,2770,3327,1376,1071,1266,971
Federal Republic of Germany,119,71,222,300,813,1020,832,847,201,227,439,417,202,112,149,251,885,641,493,237,43,38,50,46,60,98,111,160,543,586,380,126,30,16,58,39,55,49,110
Federated States of Micronesia,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,1,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
Fiji,1,3,4,1,1,2,1,1,2,8,4,3,2,1,3,1,2,6,10,2,1,4,Missing,3,2,1,5,5,4,5,5,3,2,1,8,8,7,3,1
Finland,1,3,3,8,21,26,25,26,18,13,9,8,2,Missing,4,6,11,24,15,6,5,3,2,Missing,1,2,4,5,10,18,10,3,10,2,1,2,Missing,Missing,3
France,697,605,529,345,582,1670,2454,3729,3123,822,933,1068,431,371,358,525,1207,2062,3847,1741,347,429,356,410,411,320,337,604,1953,3224,2102,832,411,192,361,247,345,205,161
French Polynesia,Missing,Missing,Missing,1,Missing,14,5,5,8,1,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,1,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
Gabon Republic,22,15,7,13,11,16,31,46,17,9,25,22,16,23,19,9,5,14,14,16,43,24,15,27,17,20,19,18,25,21,21,22,24,45,50,23,29,14,19
Gambia,41,21,16,40,23,28,60,56,13,21,47,49,66,4,26,115,50,49,44,33,49,39,124,32,26,176,77,77,169,64,64,119,33,86,64,127,80,100,36
Georgia,2,2,2,3,8,3,6,2,5,3,8,4,2,1,2,4,2,Missing,1,1,16,7,5,4,6,3,4,1,4,3,1,5,2,1,6,3,2,1,4
Ghana,323,191,158,156,234,312,464,473,520,357,641,267,212,141,62,74,391,612,371,932,979,775,749,603,289,882,1288,716,2044,1894,1420,1847,660,934,2438,3275,5338,4600,1391
Greece,6,9,12,8,5,16,8,11,11,4,2,8,4,8,2,2,6,12,13,13,4,4,6,7,6,2,2,8,13,13,6,9,6,3,5,4,4,5,5
Grenada,Missing,Missing,2,Missing,2,2,11,7,3,6,6,6,1,3,2,1,Missing,3,10,9,3,3,8,2,1,3,2,3,5,8,4,4,3,3,1,Missing,1,1,3
Guadeloupe,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,1,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
Guatemala,15,4,7,12,9,12,27,37,11,4,6,36,20,26,10,6,19,10,20,30,9,18,14,22,8,10,25,11,18,19,28,17,10,10,21,5,4,14,26
Guinea-Bissau,2,Missing,Missing,Missing,Missing,2,2,4,1,Missing,2,Missing,1,1,Missing,1,1,2,Missing,1,1,Missing,1,Missing,2,Missing,Missing,Missing,3,5,3,1,2,5,2,4,3,2,Missing
"Guinea, Republic of",246,171,61,173,120,272,510,553,173,141,369,419,519,263,538,259,409,423,233,331,983,57,804,764,1354,1440,1099,661,1263,760,2163,1928,1740,1985,1735,1051,1853,2256,1685
Guyana,5,13,13,30,12,32,23,12,5,21,25,21,17,8,10,12,28,34,53,39,19,29,19,16,8,18,15,22,32,28,14,22,13,14,14,12,20,16,19
Haiti,238,63,11,119,129,206,281,649,280,116,87,574,341,301,108,237,236,302,642,1106,185,112,350,946,287,157,680,506,445,751,763,653,277,338,411,225,203,180,131
Honduras,28,12,2,49,40,37,55,80,45,18,18,47,44,44,20,20,30,35,64,68,29,13,36,47,11,10,52,40,47,38,40,46,27,41,17,14,8,28,13
Hong Kong,113,131,264,322,499,649,1275,994,550,523,591,407,378,196,949,452,1553,1419,979,965,476,322,652,399,505,517,480,561,750,708,766,874,418,329,395,287,323,250,163
Hungary,7,2,7,4,9,19,3,14,6,10,4,10,2,Missing,2,8,8,13,18,8,7,3,3,6,4,2,2,5,13,9,19,7,8,1,2,2,2,Missing,1
Iceland,2,2,1,Missing,1,1,3,8,4,1,2,4,1,1,Missing,Missing,Missing,Missing,2,4,1,3,Missing,1,1,1,1,1,Missing,1,1,2,2,1,Missing,1,1,3,2
India,5944,30100,27291,27265,13047,12270,20775,19545,17435,17397,20791,24213,21226,26502,24674,19426,18770,29270,27272,38000,38417,42152,44532,33235,33136,24231,28073,19206,37301,32753,23879,21087,18688,24223,32091,12818,18763,26227,4210
Iran,554,1569,1366,1065,1298,2088,1821,1263,741,1428,1521,1147,1061,953,568,1042,1342,1600,2125,2153,1541,885,1398,1098,1307,1040,1445,657,1142,2030,1659,1905,1850,948,1273,1308,2097,1906,674
Iraq,49,34,44,52,39,25,33,68,116,42,83,42,16,41,35,30,26,64,116,132,57,17,81,93,56,63,78,55,81,66,91,90,29,72,89,115,67,47,73
Israel,29,4,60,46,49,49,24,55,48,34,47,28,20,21,31,39,51,43,31,32,12,32,24,21,19,16,23,33,69,98,44,32,26,20,20,10,31,6,16
Italy,91,61,97,96,180,355,587,393,214,182,288,139,78,44,42,63,327,390,397,116,28,54,79,49,35,20,57,60,254,342,186,107,35,27,51,25,30,34,27
Jamaica,125,58,15,35,45,347,369,517,210,33,198,318,161,72,60,138,631,201,38,652,140,63,51,360,152,140,209,210,220,111,236,635,196,260,165,142,113,126,59
